Time Stamp,Acceleration
24964260,-0.9711
24966128,-1.0023
24968004,-1.3338
24969892,-1.3338
24971772,-1.5873
24973660,-1.5951
24975548,-1.3572
24977436,-1.3572
24979324,-1.0257
24981200,-0.7488
24983072,-0.5421
24984948,-0.5421
24986820,-0.6123
24988692,-0.6825
24990560,-0.8229
24992436,-0.8229
24994316,-0.8619
24996188,-0.8307
24998056,-0.8307
24999920,-0.8151
25001804,-0.7644
25003680,-0.7878
25005552,-0.7878
25007424,-0.8151
25009300,-0.8385
25011164,-0.8463
25013040,-0.8463
25014908,-0.819
25016780,-0.8151
25018656,-0.8034
25020520,-0.8034
25022392,-0.7995
25024260,-0.8112
25026128,-0.8112
25028000,-0.8112
25029876,-0.7839
25031744,-0.4524
25033620,-0.4524
25035484,-0.3159
25037360,-0.5226
25039236,-0.7722
25041108,-0.7722
25042984,-0.8697
25044852,-0.8697
25046728,-0.9555
25048604,-0.9555
25050480,-0.9282
25052352,-0.936
25054220,-0.9555
25056092,-0.9555
25057960,-0.9555
25059836,-0.9828
25061712,-0.9516
25063588,-0.9516
25065456,-0.9516
25067336,-0.9321
25069216,-0.8931
25071092,-0.8931
25072964,-0.8814
25074836,-0.8892
25076704,-0.8892
25078580,-0.897
25080440,-0.9165
25082308,-0.897
25084176,-0.897
25086044,-0.8697
25087920,-0.858
25089784,-0.8463
25091648,-0.8463
25093520,-0.8385
25095396,-0.8424
25097268,-0.8307
25099136,-0.8307
